date,units_forecast,units_lower,units_upper,revenue_forecast,revenue_lower,revenue_upper
2017-05-17,1180.0260808106725,832.0211352821914,1530.949944139653,24607.4575453269,16811.97764848479,32042.381080770425
2017-05-18,1248.134223141271,941.448801327249,1615.8981086346143,25631.832002918538,18945.81025445575,32650.030478581288
2017-05-19,1558.1913788601785,1235.6171459932475,1890.8992862607774,31939.864759250027,25409.69446017397,38994.707948787785
2017-05-20,1989.5531951715907,1698.4125882396906,2314.391482434659,39852.87858456287,32221.337947636683,46747.48177261099
2017-05-21,2039.1171928932017,1725.7041405849102,2367.416203930514,40748.966128551096,33715.88846196147,47966.0426227734
2017-05-22,1225.6021700649712,910.7158374466303,1544.185319301228,25388.30490837614,18280.60705605613,32672.66939795696
2017-05-23,1061.9340803144614,722.9876046447112,1401.6632840988834,21835.896822309343,14729.656774629026,28836.566072956055
2017-05-24,1131.6635072809647,779.8882245668982,1462.1944019488553,23580.544943871373,15997.302455990064,30320.85498798548
2017-05-25,1206.0038099505728,865.5968848041871,1531.7062472756681,24763.899876229225,17386.63977559431,32280.408900818464
2017-05-26,1522.98705457882,1181.5726437963647,1860.6632340438325,31247.42423461956,23736.02516271895,38320.8614845029
2017-05-27,1961.8171251738077,1629.1211578756001,2277.0943510844045,39348.49970294324,32285.38902256529,46846.76702322149
2017-05-28,2019.2311483797139,1725.3856941316915,2340.2471198638173,40440.999817619595,33453.871701248485,47955.676347672226
2017-05-29,1213.7824655660008,875.9561623365755,1543.4358593442767,25280.69806136437,18120.438081429857,32896.618463177336
2017-05-30,1058.2301374132785,734.3353158939589,1395.0389520407582,21928.104863337427,14955.518046848503,29809.222371484455
2017-05-31,1135.960019099216,809.359869943292,1481.4619732759231,23867.544025832725,16593.483393013466,30750.203190395907
2017-06-01,1218.0263994690813,906.42382735154,1547.9066652341578,25236.298565350527,18052.31522190947,32631.074888595344
2017-06-02,1542.3112412327293,1193.8558304380715,1839.9187747648346,31891.672217731066,24895.771190780968,39785.37210948073
2017-06-03,1987.8803426616,1661.472530031274,2334.743260718193,40147.188836109395,33115.044159653335,47845.3218536438
2017-06-04,2051.347489836788,1726.7435580072668,2358.0371425412573,41373.250653757284,34152.27799905236,48339.752614094636
2017-06-05,1251.1597757148681,935.8931097832425,1557.2901480898854,26322.62301990988,18831.889966930397,33187.87176690904
2017-06-06,1099.9890238879887,758.4067805440997,1452.0445159244236,23053.33741555002,15823.277798799023,29784.220136305197
